course_id,course_title,course_duration,num_lectures,level,price,is_popular
1,Data Science for Everyone,10.5,50,Intermediate,100.0,1
2,Web Development Bootcamp,20.0,120,Beginner,150.0,1
3,Advanced Photoshop Techniques,5.0,30,Expert,200.0,0
4,Machine Learning Fundamentals,15.0,80,Intermediate,120.0,1
5,Digital Marketing Essentials,12.0,60,Beginner,90.0,0
6,iOS Development with Swift,18.0,100,Intermediate,140.0,1
7,Financial Analysis with Excel,8.0,40,Beginner,80.0,0
8,Complete Java Masterclass,30.0,150,Intermediate,120.0,1
9,Angular - The Complete Guide,28.0,140,Intermediate,130.0,1
10,Python for Data Analysis,15.0,70,Beginner,100.0,1
11,React Native - The Practical Guide,20.0,110,Intermediate,140.0,0
12,Complete Blender Creator Course,25.0,125,Beginner,80.0,1
13,Understanding Algorithms in C++,18.0,75,Intermediate,110.0,0
14,Mastering WordPress - With No Coding,12.0,50,Beginner,70.0,0
15,Networking Fundamentals and Protocols,14.0,65,Beginner,90.0,0
16,Essential Photography Skills,10.0,40,Beginner,100.0,1
17,Intro to Cybersecurity,12.0,60,Intermediate,115.0,0
18,SEO Basics and Advanced,10.0,40,Beginner,90.0,0
19,Game Development with Unity,22.0,90,Intermediate,150.0,1
20,AWS Certified Solutions Architect,18.0,75,Intermediate,180.0,1
21,Excel from Beginner to Advanced,15.0,60,Beginner,100.0,1
22,Graphic Design Masterclass,12.0,50,Beginner,80.0,0
23,Social Media Marketing,10.0,40,Intermediate,100.0,1
24,Learning Docker and Kubernetes,20.0,80,Intermediate,120.0,0
25,Python for Finance,12.0,45,Intermediate,110.0,0
26,Adobe Premiere Pro CC for Beginners,14.0,55,Beginner,100.0,1
27,Deep Learning with TensorFlow,25.0,100,Expert,200.0,1
